$T_i$ period,$L_Z^-$ minimum offset-free reaction time,$phase$ offsets min,$L_Z^+$ maximum offset-free reaction time,$phase$ offsets max,diff,is max-harmonic
"[2,3,9,10]",17.000,"[0,0,0,0]",20.000,"[0,0,2,1]",3.000,0
"[2,3,9,11]",19.000,"[0,0,0,0]",21.000,"[0,0,2,0]",2.000,0
"[2,3,9,12]",17.000,"[0,0,0,0]",22.000,"[0,0,2,1]",5.000,0
"[2,3,10,2]",11.000,"[0,0,0,0]",13.000,"[0,0,1,0]",2.000,0
"[2,3,10,3]",12.000,"[0,0,0,0]",14.000,"[0,0,1,2]",2.000,0
"[2,3,10,4]",13.000,"[0,0,0,0]",15.000,"[0,0,1,0]",2.000,0
"[2,3,10,5]",11.000,"[0,0,0,0]",16.000,"[0,0,1,0]",5.000,0
"[2,3,10,6]",13.000,"[0,0,0,2]",17.000,"[0,0,1,2]",4.000,0
"[2,3,10,7]",17.000,"[0,0,0,0]",18.000,"[0,0,1,0]",1.000,0
"[2,3,10,8]",17.000,"[0,0,0,0]",19.000,"[0,0,1,0]",2.000,0
"[2,3,10,9]",18.000,"[0,0,0,0]",20.000,"[0,0,1,2]",2.000,0
"[2,3,10,10]",11.000,"[0,0,0,0]",21.000,"[0,0,1,0]",10.000,0
"[2,3,10,11]",21.000,"[0,0,0,0]",22.000,"[0,0,1,0]",1.000,0
"[2,3,10,12]",19.000,"[0,0,0,2]",23.000,"[0,0,1,2]",4.000,0
"[2,3,11,2]",13.000,"[0,0,0,0]",14.000,"[0,0,0,1]",1.000,0
"[2,3,11,3]",13.000,"[0,0,0,1]",15.000,"[0,0,0,0]",2.000,0
"[2,3,11,4]",15.000,"[0,0,0,0]",16.000,"[0,0,0,1]",1.000,0
"[2,3,11,5]",17.000,"[0,0,0,0]",17.000,"[0,0,0,0]",0.000,0
"[2,3,11,6]",15.000,"[0,0,0,4]",18.000,"[0,0,0,3]",3.000,0
"[2,3,11,7]",19.000,"[0,0,0,0]",19.000,"[0,0,0,0]",0.000,0
"[2,3,11,8]",19.000,"[0,0,0,0]",20.000,"[0,0,0,1]",1.000,0
"[2,3,11,9]",19.000,"[0,0,0,1]",21.000,"[0,0,0,0]",2.000,0
"[2,3,11,10]",21.000,"[0,0,0,0]",22.000,"[0,0,0,1]",1.000,0
"[2,3,11,11]",13.000,"[0,0,0,0]",23.000,"[0,0,0,10]",10.000,0
"[2,3,11,12]",21.000,"[0,0,0,4]",24.000,"[0,0,0,3]",3.000,0
"[2,3,12,2]",11.000,"[0,0,0,0]",15.000,"[0,0,5,0]",4.000,1
"[2,3,12,3]",11.000,"[0,0,0,0]",16.000,"[0,0,5,1]",5.000,1
"[2,3,12,4]",11.000,"[0,0,0,0]",17.000,"[0,0,5,0]",6.000,1
"[2,3,12,5]",15.000,"[0,0,0,0]",18.000,"[0,0,5,0]",3.000,0
"[2,3,12,6]",11.000,"[0,0,0,0]",19.000,"[0,0,5,4]",8.000,1
"[2,3,12,7]",17.000,"[0,0,0,0]",20.000,"[0,0,5,0]",3.000,0
"[2,3,12,8]",15.000,"[0,0,0,0]",21.000,"[0,0,5,0]",6.000,0
"[2,3,12,9]",17.000,"[0,0,0,0]",22.000,"[0,0,5,1]",5.000,0
"[2,3,12,10]",19.000,"[0,0,0,0]",23.000,"[0,0,5,0]",4.000,0
"[2,3,12,11]",21.000,"[0,0,0,0]",24.000,"[0,0,5,0]",3.000,0
"[2,3,12,12]",11.000,"[0,0,0,0]",25.000,"[0,0,5,4]",14.000,1
"[2,4,2,2]",3.000,"[0,0,0,0]",6.000,"[0,1,0,1]",3.000,1
"[2,4,2,3]",5.000,"[0,0,0,0]",7.000,"[0,1,0,0]",2.000,0
"[2,4,2,4]",3.000,"[0,0,0,0]",8.000,"[0,1,0,1]",5.000,1
"[2,4,2,5]",7.000,"[0,0,0,0]",9.000,"[0,1,0,0]",2.000,0
"[2,4,2,6]",7.000,"[0,0,0,0]",10.000,"[0,1,0,1]",3.000,0
"[2,4,2,7]",9.000,"[0,0,0,0]",11.000,"[0,1,0,0]",2.000,0
"[2,4,2,8]",7.000,"[0,0,0,0]",12.000,"[0,1,0,1]",5.000,1
"[2,4,2,9]",11.000,"[0,0,0,0]",13.000,"[0,1,0,0]",2.000,0
"[2,4,2,10]",11.000,"[0,0,0,0]",14.000,"[0,1,0,1]",3.000,0
"[2,4,2,11]",13.000,"[0,0,0,0]",15.000,"[0,1,0,0]",2.000,0
"[2,4,2,12]",11.000,"[0,0,0,0]",16.000,"[0,1,0,1]",5.000,1
"[2,4,3,2]",5.000,"[0,0,0,0]",7.000,"[0,1,0,0]",2.000,0
"[2,4,3,3]",5.000,"[0,0,0,0]",8.000,"[0,1,0,2]",3.000,0
"[2,4,3,4]",5.000,"[0,0,0,2]",9.000,"[0,1,0,2]",4.000,0
"[2,4,3,5]",9.000,"[0,0,0,0]",10.000,"[0,1,0,0]",1.000,0
"[2,4,3,6]",7.000,"[0,0,0,0]",11.000,"[0,1,0,2]",4.000,0
"[2,4,3,7]",11.000,"[0,0,0,0]",12.000,"[0,1,0,0]",1.000,0
"[2,4,3,8]",9.000,"[0,0,0,2]",13.000,"[0,1,0,2]",4.000,0
"[2,4,3,9]",11.000,"[0,0,0,0]",14.000,"[0,1,0,2]",3.000,0
"[2,4,3,10]",13.000,"[0,0,0,0]",15.000,"[0,1,0,0]",2.000,0
