$T_i$ period,$L_Z^-$ minimum offset-free reaction time,$phase$ offsets min,$L_Z^+$ maximum offset-free reaction time,$phase$ offsets max,diff,is max-harmonic
"[11,10,10,7]",25.000,"[0,0,0,0]",34.000,"[0,0,9,0]",9.000,0
"[11,10,10,8]",25.000,"[0,0,0,0]",35.000,"[0,0,9,0]",10.000,0
"[11,10,10,9]",27.000,"[0,0,0,0]",36.000,"[0,0,9,0]",9.000,0
"[11,10,10,10]",19.000,"[0,0,0,0]",37.000,"[0,0,9,8]",18.000,0
"[11,10,10,11]",19.000,"[0,0,0,9]",38.000,"[0,0,9,6]",19.000,0
"[11,10,10,12]",29.000,"[0,0,0,0]",39.000,"[0,0,9,0]",10.000,0
"[11,10,11,2]",20.000,"[0,0,9,0]",30.000,"[0,0,8,1]",10.000,0
"[11,10,11,3]",21.000,"[0,0,9,0]",31.000,"[0,0,8,0]",10.000,0
"[11,10,11,4]",22.000,"[0,0,9,0]",32.000,"[0,0,8,1]",10.000,0
"[11,10,11,5]",23.000,"[0,0,9,0]",33.000,"[0,0,8,4]",10.000,0
"[11,10,11,6]",24.000,"[0,0,9,0]",34.000,"[0,0,8,1]",10.000,0
"[11,10,11,7]",25.000,"[0,0,9,0]",35.000,"[0,0,8,0]",10.000,0
"[11,10,11,8]",26.000,"[0,0,9,0]",36.000,"[0,0,8,1]",10.000,0
"[11,10,11,9]",27.000,"[0,0,9,0]",37.000,"[0,0,8,0]",10.000,0
"[11,10,11,10]",28.000,"[0,0,9,0]",38.000,"[0,0,8,9]",10.000,0
"[11,10,11,11]",19.000,"[0,0,9,9]",39.000,"[0,0,8,7]",20.000,0
"[11,10,11,12]",30.000,"[0,0,9,0]",40.000,"[0,0,8,1]",10.000,0
"[11,10,12,2]",29.000,"[0,0,0,0]",31.000,"[0,0,1,0]",2.000,0
"[11,10,12,3]",29.000,"[0,0,0,0]",32.000,"[0,0,1,0]",3.000,0
"[11,10,12,4]",29.000,"[0,0,0,0]",33.000,"[0,0,1,0]",4.000,0
"[11,10,12,5]",29.000,"[0,0,0,0]",34.000,"[0,0,1,0]",5.000,0
"[11,10,12,6]",29.000,"[0,0,0,0]",35.000,"[0,0,1,0]",6.000,0
"[11,10,12,7]",35.000,"[0,0,0,0]",36.000,"[0,0,1,0]",1.000,0
"[11,10,12,8]",33.000,"[0,0,0,0]",37.000,"[0,0,1,0]",4.000,0
"[11,10,12,9]",35.000,"[0,0,0,0]",38.000,"[0,0,1,0]",3.000,0
"[11,10,12,10]",29.000,"[0,0,0,0]",39.000,"[0,0,1,0]",10.000,0
"[11,10,12,11]",29.000,"[0,0,0,8]",40.000,"[0,0,1,8]",11.000,0
"[11,10,12,12]",29.000,"[0,0,0,0]",41.000,"[0,0,1,0]",12.000,0
"[11,11,2,2]",11.000,"[0,0,0,0]",22.000,"[0,10,0,1]",11.000,0
"[11,11,2,3]",13.000,"[0,0,0,0]",23.000,"[0,10,0,0]",10.000,0
"[11,11,2,4]",13.000,"[0,0,0,0]",24.000,"[0,10,0,1]",11.000,0
"[11,11,2,5]",15.000,"[0,0,0,0]",25.000,"[0,10,0,0]",10.000,0
"[11,11,2,6]",15.000,"[0,0,0,0]",26.000,"[0,10,0,1]",11.000,0
"[11,11,2,7]",17.000,"[0,0,0,0]",27.000,"[0,10,0,0]",10.000,0
"[11,11,2,8]",17.000,"[0,0,0,0]",28.000,"[0,10,0,1]",11.000,0
"[11,11,2,9]",19.000,"[0,0,0,0]",29.000,"[0,10,0,0]",10.000,0
"[11,11,2,10]",19.000,"[0,0,0,0]",30.000,"[0,10,0,1]",11.000,0
"[11,11,2,11]",11.000,"[0,0,0,1]",31.000,"[0,10,0,10]",20.000,0
"[11,11,2,12]",21.000,"[0,0,0,0]",32.000,"[0,10,0,1]",11.000,0
"[11,11,3,2]",13.000,"[0,0,0,0]",23.000,"[0,10,0,0]",10.000,0
"[11,11,3,3]",12.000,"[0,0,0,0]",24.000,"[0,10,0,2]",12.000,0
"[11,11,3,4]",15.000,"[0,0,0,0]",25.000,"[0,10,0,0]",10.000,0
"[11,11,3,5]",16.000,"[0,0,0,0]",26.000,"[0,10,0,0]",10.000,0
"[11,11,3,6]",15.000,"[0,0,0,0]",27.000,"[0,10,0,2]",12.000,0
"[11,11,3,7]",18.000,"[0,0,0,0]",28.000,"[0,10,0,0]",10.000,0
"[11,11,3,8]",19.000,"[0,0,0,0]",29.000,"[0,10,0,0]",10.000,0
"[11,11,3,9]",18.000,"[0,0,0,0]",30.000,"[0,10,0,2]",12.000,0
"[11,11,3,10]",21.000,"[0,0,0,0]",31.000,"[0,10,0,0]",10.000,0
"[11,11,3,11]",12.000,"[0,0,0,2]",32.000,"[0,10,0,0]",20.000,0
"[11,11,3,12]",21.000,"[0,0,0,0]",33.000,"[0,10,0,2]",12.000,0
"[11,11,4,2]",13.000,"[0,0,0,0]",24.000,"[0,10,0,1]",11.000,0
"[11,11,4,3]",15.000,"[0,0,0,0]",25.000,"[0,10,0,0]",10.000,0
"[11,11,4,4]",13.000,"[0,0,0,0]",26.000,"[0,10,0,3]",13.000,0
"[11,11,4,5]",17.000,"[0,0,0,0]",27.000,"[0,10,0,0]",10.000,0
"[11,11,4,6]",17.000,"[0,0,0,0]",28.000,"[0,10,0,1]",11.000,0
"[11,11,4,7]",19.000,"[0,0,0,0]",29.000,"[0,10,0,0]",10.000,0
"[11,11,4,8]",17.000,"[0,0,0,0]",30.000,"[0,10,0,3]",13.000,0
"[11,11,4,9]",21.000,"[0,0,0,0]",31.000,"[0,10,0,0]",10.000,0
"[11,11,4,10]",21.000,"[0,0,0,0]",32.000,"[0,10,0,1]",11.000,0
"[11,11,4,11]",13.000,"[0,0,0,3]",33.000,"[0,10,0,1]",20.000,0
"[11,11,4,12]",21.000,"[0,0,0,0]",34.000,"[0,10,0,3]",13.000,0
"[11,11,5,2]",15.000,"[0,0,0,0]",25.000,"[0,10,0,0]",10.000,0
"[11,11,5,3]",16.000,"[0,0,0,0]",26.000,"[0,10,0,0]",10.000,0
"[11,11,5,4]",17.000,"[0,0,0,0]",27.000,"[0,10,0,0]",10.000,0
"[11,11,5,5]",14.000,"[0,0,0,0]",28.000,"[0,10,0,4]",14.000,0
"[11,11,5,6]",19.000,"[0,0,0,0]",29.000,"[0,10,0,0]",10.000,0
"[11,11,5,7]",20.000,"[0,0,0,0]",30.000,"[0,10,0,0]",10.000,0
"[11,11,5,8]",21.000,"[0,0,0,0]",31.000,"[0,10,0,0]",10.000,0
"[11,11,5,9]",22.000,"[0,0,0,0]",32.000,"[0,10,0,0]",10.000,0
"[11,11,5,10]",19.000,"[0,0,0,0]",33.000,"[0,10,0,4]",14.000,0
"[11,11,5,11]",14.000,"[0,0,0,4]",34.000,"[0,10,0,2]",20.000,0
"[11,11,5,12]",25.000,"[0,0,0,0]",35.000,"[0,10,0,0]",10.000,0
"[11,11,6,2]",15.000,"[0,0,0,0]",26.000,"[0,10,0,1]",11.000,0
"[11,11,6,3]",15.000,"[0,0,0,0]",27.000,"[0,10,0,2]",12.000,0
"[11,11,6,4]",17.000,"[0,0,0,0]",28.000,"[0,10,0,1]",11.000,0
"[11,11,6,5]",19.000,"[0,0,0,0]",29.000,"[0,10,0,0]",10.000,0
"[11,11,6,6]",15.000,"[0,0,0,0]",30.000,"[0,10,0,5]",15.000,0
"[11,11,6,7]",21.000,"[0,0,0,0]",31.000,"[0,10,0,0]",10.000,0
"[11,11,6,8]",21.000,"[0,0,0,0]",32.000,"[0,10,0,1]",11.000,0
"[11,11,6,9]",21.000,"[0,0,0,0]",33.000,"[0,10,0,2]",12.000,0
"[11,11,6,10]",23.000,"[0,0,0,0]",34.000,"[0,10,0,1]",11.000,0
"[11,11,6,11]",15.000,"[0,0,0,5]",35.000,"[0,10,0,3]",20.000,0
"[11,11,6,12]",21.000,"[0,0,0,0]",36.000,"[0,10,0,5]",15.000,0
"[11,11,7,2]",17.000,"[0,0,0,0]",27.000,"[0,10,0,0]",10.000,0
"[11,11,7,3]",18.000,"[0,0,0,0]",28.000,"[0,10,0,0]",10.000,0
"[11,11,7,4]",19.000,"[0,0,0,0]",29.000,"[0,10,0,0]",10.000,0
"[11,11,7,5]",20.000,"[0,0,0,0]",30.000,"[0,10,0,0]",10.000,0
"[11,11,7,6]",21.000,"[0,0,0,0]",31.000,"[0,10,0,0]",10.000,0
"[11,11,7,7]",16.000,"[0,0,0,0]",32.000,"[0,10,0,6]",16.000,0
"[11,11,7,8]",23.000,"[0,0,0,0]",33.000,"[0,10,0,0]",10.000,0
"[11,11,7,9]",24.000,"[0,0,0,0]",34.000,"[0,10,0,0]",10.000,0
"[11,11,7,10]",25.000,"[0,0,0,0]",35.000,"[0,10,0,0]",10.000,0
"[11,11,7,11]",16.000,"[0,0,0,6]",36.000,"[0,10,0,4]",20.000,0
"[11,11,7,12]",27.000,"[0,0,0,0]",37.000,"[0,10,0,0]",10.000,0
"[11,11,8,2]",17.000,"[0,0,0,0]",28.000,"[0,10,0,1]",11.000,0
"[11,11,8,3]",19.000,"[0,0,0,0]",29.000,"[0,10,0,0]",10.000,0
"[11,11,8,4]",17.000,"[0,0,0,0]",30.000,"[0,10,0,3]",13.000,0
"[11,11,8,5]",21.000,"[0,0,0,0]",31.000,"[0,10,0,0]",10.000,0
"[11,11,8,6]",21.000,"[0,0,0,0]",32.000,"[0,10,0,1]",11.000,0
"[11,11,8,7]",23.000,"[0,0,0,0]",33.000,"[0,10,0,0]",10.000,0
"[11,11,8,8]",17.000,"[0,0,0,0]",34.000,"[0,10,0,7]",17.000,0
"[11,11,8,9]",25.000,"[0,0,0,0]",35.000,"[0,10,0,0]",10.000,0
"[11,11,8,10]",25.000,"[0,0,0,0]",36.000,"[0,10,0,1]",11.000,0
"[11,11,8,11]",17.000,"[0,0,0,7]",37.000,"[0,10,0,5]",20.000,0
"[11,11,8,12]",25.000,"[0,0,0,0]",38.000,"[0,10,0,3]",13.000,0
"[11,11,9,2]",19.000,"[0,0,0,0]",29.000,"[0,10,0,0]",10.000,0
"[11,11,9,3]",18.000,"[0,0,0,0]",30.000,"[0,10,0,2]",12.000,0
"[11,11,9,4]",21.000,"[0,0,0,0]",31.000,"[0,10,0,0]",10.000,0
"[11,11,9,5]",22.000,"[0,0,0,0]",32.000,"[0,10,0,0]",10.000,0
"[11,11,9,6]",21.000,"[0,0,0,0]",33.000,"[0,10,0,2]",12.000,0
"[11,11,9,7]",24.000,"[0,0,0,0]",34.000,"[0,10,0,0]",10.000,0
"[11,11,9,8]",25.000,"[0,0,0,0]",35.000,"[0,10,0,0]",10.000,0
"[11,11,9,9]",18.000,"[0,0,0,0]",36.000,"[0,10,0,8]",18.000,0
"[11,11,9,10]",27.000,"[0,0,0,0]",37.000,"[0,10,0,0]",10.000,0
"[11,11,9,11]",18.000,"[0,0,0,8]",38.000,"[0,10,0,6]",20.000,0
"[11,11,9,12]",27.000,"[0,0,0,0]",39.000,"[0,10,0,2]",12.000,0
"[11,11,10,2]",19.000,"[0,0,0,0]",30.000,"[0,10,0,1]",11.000,0
"[11,11,10,3]",21.000,"[0,0,0,0]",31.000,"[0,10,0,0]",10.000,0
"[11,11,10,4]",21.000,"[0,0,0,0]",32.000,"[0,10,0,1]",11.000,0
"[11,11,10,5]",19.000,"[0,0,0,0]",33.000,"[0,10,0,4]",14.000,0
"[11,11,10,6]",23.000,"[0,0,0,0]",34.000,"[0,10,0,1]",11.000,0
"[11,11,10,7]",25.000,"[0,0,0,0]",35.000,"[0,10,0,0]",10.000,0
"[11,11,10,8]",25.000,"[0,0,0,0]",36.000,"[0,10,0,1]",11.000,0
"[11,11,10,9]",27.000,"[0,0,0,0]",37.000,"[0,10,0,0]",10.000,0
"[11,11,10,10]",19.000,"[0,0,0,0]",38.000,"[0,10,0,9]",19.000,0
"[11,11,10,11]",19.000,"[0,0,0,9]",39.000,"[0,10,0,7]",20.000,0
"[11,11,10,12]",29.000,"[0,0,0,0]",40.000,"[0,10,0,1]",11.000,0
"[11,11,11,2]",11.000,"[0,0,0,0]",31.000,"[0,10,9,0]",20.000,0
"[11,11,11,3]",12.000,"[0,0,0,0]",32.000,"[0,10,9,0]",20.000,0
"[11,11,11,4]",13.000,"[0,0,0,0]",33.000,"[0,10,9,0]",20.000,0
"[11,11,11,5]",14.000,"[0,0,0,0]",34.000,"[0,10,9,0]",20.000,0
"[11,11,11,6]",15.000,"[0,0,0,0]",35.000,"[0,10,9,0]",20.000,0
"[11,11,11,7]",16.000,"[0,0,0,0]",36.000,"[0,10,9,0]",20.000,0
"[11,11,11,8]",17.000,"[0,0,0,0]",37.000,"[0,10,9,0]",20.000,0
"[11,11,11,9]",18.000,"[0,0,0,0]",38.000,"[0,10,9,0]",20.000,0
"[11,11,11,10]",19.000,"[0,0,0,0]",39.000,"[0,10,9,0]",20.000,0
"[11,11,11,11]",10.000,"[0,0,0,0]",40.000,"[0,10,9,8]",30.000,1
"[11,11,11,12]",21.000,"[0,0,0,0]",41.000,"[0,10,9,0]",20.000,0
"[11,11,12,2]",21.000,"[0,0,0,0]",32.000,"[0,10,0,1]",11.000,0
"[11,11,12,3]",21.000,"[0,0,0,0]",33.000,"[0,10,0,2]",12.000,0
"[11,11,12,4]",21.000,"[0,0,0,0]",34.000,"[0,10,0,3]",13.000,0
"[11,11,12,5]",25.000,"[0,0,0,0]",35.000,"[0,10,0,0]",10.000,0
"[11,11,12,6]",21.000,"[0,0,0,0]",36.000,"[0,10,0,5]",15.000,0
"[11,11,12,7]",27.000,"[0,0,0,0]",37.000,"[0,10,0,0]",10.000,0
"[11,11,12,8]",25.000,"[0,0,0,0]",38.000,"[0,10,0,3]",13.000,0
"[11,11,12,9]",27.000,"[0,0,0,0]",39.000,"[0,10,0,2]",12.000,0
"[11,11,12,10]",29.000,"[0,0,0,0]",40.000,"[0,10,0,1]",11.000,0
"[11,11,12,11]",21.000,"[0,0,0,0]",41.000,"[0,10,0,9]",20.000,0
"[11,11,12,12]",21.000,"[0,0,0,0]",42.000,"[0,10,0,11]",21.000,0
"[11,12,2,2]",21.000,"[0,0,0,0]",23.000,"[0,0,1,0]",2.000,0
"[11,12,2,3]",21.000,"[0,0,0,0]",24.000,"[0,0,1,0]",3.000,0
"[11,12,2,4]",21.000,"[0,0,0,0]",25.000,"[0,0,1,0]",4.000,0
"[11,12,2,5]",25.000,"[0,0,0,0]",26.000,"[0,0,1,0]",1.000,0
"[11,12,2,6]",21.000,"[0,0,0,0]",27.000,"[0,0,1,0]",6.000,0
"[11,12,2,7]",27.000,"[0,0,0,0]",28.000,"[0,0,1,0]",1.000,0
"[11,12,2,8]",25.000,"[0,0,0,0]",29.000,"[0,0,1,0]",4.000,0
"[11,12,2,9]",27.000,"[0,0,0,0]",30.000,"[0,0,1,0]",3.000,0
"[11,12,2,10]",29.000,"[0,0,0,0]",31.000,"[0,0,1,0]",2.000,0
"[11,12,2,11]",21.000,"[0,0,0,0]",32.000,"[0,0,1,0]",11.000,0
"[11,12,2,12]",21.000,"[0,0,0,0]",33.000,"[0,0,1,0]",12.000,0
"[11,12,3,2]",21.000,"[0,0,0,0]",24.000,"[0,0,2,1]",3.000,0
"[11,12,3,3]",21.000,"[0,0,0,0]",25.000,"[0,0,2,1]",4.000,0
"[11,12,3,4]",21.000,"[0,0,0,0]",26.000,"[0,0,2,1]",5.000,0
"[11,12,3,5]",25.000,"[0,0,0,0]",27.000,"[0,0,2,0]",2.000,0
"[11,12,3,6]",21.000,"[0,0,0,0]",28.000,"[0,0,2,1]",7.000,0
"[11,12,3,7]",27.000,"[0,0,0,0]",29.000,"[0,0,2,0]",2.000,0
"[11,12,3,8]",25.000,"[0,0,0,0]",30.000,"[0,0,2,1]",5.000,0
"[11,12,3,9]",27.000,"[0,0,0,0]",31.000,"[0,0,2,1]",4.000,0
"[11,12,3,10]",29.000,"[0,0,0,0]",32.000,"[0,0,2,1]",3.000,0
"[11,12,3,11]",21.000,"[0,0,0,0]",33.000,"[0,0,2,1]",12.000,0
"[11,12,3,12]",21.000,"[0,0,0,0]",34.000,"[0,0,2,1]",13.000,0
"[11,12,4,2]",21.000,"[0,0,0,0]",25.000,"[0,0,3,0]",4.000,0
"[11,12,4,3]",21.000,"[0,0,0,0]",26.000,"[0,0,3,2]",5.000,0
"[11,12,4,4]",21.000,"[0,0,0,0]",27.000,"[0,0,3,2]",6.000,0
"[11,12,4,5]",25.000,"[0,0,0,0]",28.000,"[0,0,3,0]",3.000,0
"[11,12,4,6]",21.000,"[0,0,0,0]",29.000,"[0,0,3,2]",8.000,0
"[11,12,4,7]",27.000,"[0,0,0,0]",30.000,"[0,0,3,0]",3.000,0
"[11,12,4,8]",25.000,"[0,0,0,0]",31.000,"[0,0,3,2]",6.000,0
"[11,12,4,9]",27.000,"[0,0,0,0]",32.000,"[0,0,3,2]",5.000,0
"[11,12,4,10]",29.000,"[0,0,0,0]",33.000,"[0,0,3,0]",4.000,0
"[11,12,4,11]",21.000,"[0,0,0,0]",34.000,"[0,0,3,2]",13.000,0
"[11,12,4,12]",21.000,"[0,0,0,0]",35.000,"[0,0,3,2]",14.000,0
"[11,12,5,2]",25.000,"[0,0,0,0]",26.000,"[0,0,0,1]",1.000,0
"[11,12,5,3]",25.000,"[0,0,0,1]",27.000,"[0,0,0,0]",2.000,0
"[11,12,5,4]",25.000,"[0,0,0,0]",28.000,"[0,0,0,3]",3.000,0
"[11,12,5,5]",25.000,"[0,0,0,0]",29.000,"[0,0,0,4]",4.000,0
"[11,12,5,6]",25.000,"[0,0,0,4]",30.000,"[0,0,0,3]",5.000,0
"[11,12,5,7]",31.000,"[0,0,0,0]",31.000,"[0,0,0,0]",0.000,0
"[11,12,5,8]",29.000,"[0,0,0,0]",32.000,"[0,0,0,3]",3.000,0
"[11,12,5,9]",31.000,"[0,0,0,1]",33.000,"[0,0,0,0]",2.000,0
"[11,12,5,10]",29.000,"[0,0,0,0]",34.000,"[0,0,0,9]",5.000,0
"[11,12,5,11]",25.000,"[0,0,0,4]",35.000,"[0,0,0,3]",10.000,0
"[11,12,5,12]",25.000,"[0,0,0,4]",36.000,"[0,0,0,3]",11.000,0
"[11,12,6,2]",21.000,"[0,0,0,0]",27.000,"[0,0,5,0]",6.000,0
"[11,12,6,3]",21.000,"[0,0,0,0]",28.000,"[0,0,5,1]",7.000,0
"[11,12,6,4]",21.000,"[0,0,0,0]",29.000,"[0,0,5,0]",8.000,0
"[11,12,6,5]",25.000,"[0,0,0,0]",30.000,"[0,0,5,0]",5.000,0
"[11,12,6,6]",21.000,"[0,0,0,0]",31.000,"[0,0,5,4]",10.000,0
"[11,12,6,7]",27.000,"[0,0,0,0]",32.000,"[0,0,5,0]",5.000,0
"[11,12,6,8]",25.000,"[0,0,0,0]",33.000,"[0,0,5,0]",8.000,0
"[11,12,6,9]",27.000,"[0,0,0,0]",34.000,"[0,0,5,1]",7.000,0
"[11,12,6,10]",29.000,"[0,0,0,0]",35.000,"[0,0,5,0]",6.000,0
"[11,12,6,11]",21.000,"[0,0,0,0]",36.000,"[0,0,5,4]",15.000,0
"[11,12,6,12]",21.000,"[0,0,0,0]",37.000,"[0,0,5,4]",16.000,0
"[11,12,7,2]",27.000,"[0,0,0,0]",28.000,"[0,0,0,1]",1.000,0
"[11,12,7,3]",27.000,"[0,0,0,0]",29.000,"[0,0,0,2]",2.000,0
"[11,12,7,4]",27.000,"[0,0,0,2]",30.000,"[0,0,0,1]",3.000,0
"[11,12,7,5]",31.000,"[0,0,0,0]",31.000,"[0,0,0,0]",0.000,0
"[11,12,7,6]",27.000,"[0,0,0,0]",32.000,"[0,0,0,5]",5.000,0
"[11,12,7,7]",27.000,"[0,0,0,0]",33.000,"[0,0,0,6]",6.000,0
"[11,12,7,8]",31.000,"[0,0,0,2]",34.000,"[0,0,0,1]",3.000,0
"[11,12,7,9]",33.000,"[0,0,0,0]",35.000,"[0,0,0,2]",2.000,0
"[11,12,7,10]",35.000,"[0,0,0,0]",36.000,"[0,0,0,1]",1.000,0
"[11,12,7,11]",27.000,"[0,0,0,6]",37.000,"[0,0,0,5]",10.000,0
"[11,12,7,12]",27.000,"[0,0,0,6]",38.000,"[0,0,0,5]",11.000,0
"[11,12,8,2]",25.000,"[0,0,0,0]",29.000,"[0,0,3,0]",4.000,0
"[11,12,8,3]",25.000,"[0,0,0,1]",30.000,"[0,0,3,0]",5.000,0
"[11,12,8,4]",25.000,"[0,0,0,0]",31.000,"[0,0,3,2]",6.000,0
"[11,12,8,5]",29.000,"[0,0,0,0]",32.000,"[0,0,3,0]",3.000,0
"[11,12,8,6]",25.000,"[0,0,0,4]",33.000,"[0,0,3,0]",8.000,0
"[11,12,8,7]",31.000,"[0,0,0,0]",34.000,"[0,0,3,0]",3.000,0
"[11,12,8,8]",25.000,"[0,0,0,0]",35.000,"[0,0,3,2]",10.000,0
"[11,12,8,9]",31.000,"[0,0,0,1]",36.000,"[0,0,3,0]",5.000,0
"[11,12,8,10]",33.000,"[0,0,0,0]",37.000,"[0,0,3,0]",4.000,0
"[11,12,8,11]",25.000,"[0,0,0,4]",38.000,"[0,0,3,6]",13.000,0
"[11,12,8,12]",25.000,"[0,0,0,4]",39.000,"[0,0,3,6]",14.000,0
"[11,12,9,2]",27.000,"[0,0,0,0]",30.000,"[0,0,2,1]",3.000,0
"[11,12,9,3]",27.000,"[0,0,0,0]",31.000,"[0,0,2,1]",4.000,0
"[11,12,9,4]",27.000,"[0,0,0,2]",32.000,"[0,0,2,3]",5.000,0
"[11,12,9,5]",31.000,"[0,0,0,0]",33.000,"[0,0,2,0]",2.000,0
"[11,12,9,6]",27.000,"[0,0,0,0]",34.000,"[0,0,2,1]",7.000,0
"[11,12,9,7]",33.000,"[0,0,0,0]",35.000,"[0,0,2,0]",2.000,0
"[11,12,9,8]",31.000,"[0,0,0,2]",36.000,"[0,0,2,3]",5.000,0
"[11,12,9,9]",27.000,"[0,0,0,0]",37.000,"[0,0,2,1]",10.000,0
"[11,12,9,10]",35.000,"[0,0,0,0]",38.000,"[0,0,2,1]",3.000,0
"[11,12,9,11]",27.000,"[0,0,0,6]",39.000,"[0,0,2,7]",12.000,0
"[11,12,9,12]",27.000,"[0,0,0,6]",40.000,"[0,0,2,7]",13.000,0
"[11,12,10,2]",29.000,"[0,0,0,0]",31.000,"[0,0,1,0]",2.000,0
"[11,12,10,3]",29.000,"[0,0,0,2]",32.000,"[0,0,1,2]",3.000,0
"[11,12,10,4]",29.000,"[0,0,0,0]",33.000,"[0,0,1,0]",4.000,0
"[11,12,10,5]",29.000,"[0,0,0,0]",34.000,"[0,0,1,0]",5.000,0
"[11,12,10,6]",29.000,"[0,0,0,2]",35.000,"[0,0,1,2]",6.000,0
"[11,12,10,7]",35.000,"[0,0,0,0]",36.000,"[0,0,1,0]",1.000,0
"[11,12,10,8]",33.000,"[0,0,0,0]",37.000,"[0,0,1,0]",4.000,0
"[11,12,10,9]",35.000,"[0,0,0,2]",38.000,"[0,0,1,2]",3.000,0
"[11,12,10,10]",29.000,"[0,0,0,0]",39.000,"[0,0,1,0]",10.000,0
"[11,12,10,11]",29.000,"[0,0,0,8]",40.000,"[0,0,1,8]",11.000,0
"[11,12,10,12]",29.000,"[0,0,0,8]",41.000,"[0,0,1,8]",12.000,0
"[11,12,11,2]",22.000,"[0,0,0,0]",32.000,"[0,0,10,1]",10.000,0
"[11,12,11,3]",23.000,"[0,0,0,0]",33.000,"[0,0,10,0]",10.000,0
"[11,12,11,4]",24.000,"[0,0,0,0]",34.000,"[0,0,10,1]",10.000,0
"[11,12,11,5]",25.000,"[0,0,0,0]",35.000,"[0,0,10,0]",10.000,0
"[11,12,11,6]",26.000,"[0,0,0,0]",36.000,"[0,0,10,3]",10.000,0
"[11,12,11,7]",27.000,"[0,0,0,0]",37.000,"[0,0,10,0]",10.000,0
"[11,12,11,8]",28.000,"[0,0,0,0]",38.000,"[0,0,10,1]",10.000,0
"[11,12,11,9]",29.000,"[0,0,0,0]",39.000,"[0,0,10,0]",10.000,0
"[11,12,11,10]",30.000,"[0,0,0,0]",40.000,"[0,0,10,1]",10.000,0
"[11,12,11,11]",21.000,"[0,0,0,0]",41.000,"[0,0,10,9]",20.000,0
"[11,12,11,12]",31.000,"[0,0,0,10]",42.000,"[0,0,10,9]",11.000,0
"[11,12,12,2]",21.000,"[0,0,0,0]",33.000,"[0,0,11,0]",12.000,0
"[11,12,12,3]",21.000,"[0,0,0,0]",34.000,"[0,0,11,1]",13.000,0
"[11,12,12,4]",21.000,"[0,0,0,0]",35.000,"[0,0,11,2]",14.000,0
"[11,12,12,5]",25.000,"[0,0,0,0]",36.000,"[0,0,11,0]",11.000,0
"[11,12,12,6]",21.000,"[0,0,0,0]",37.000,"[0,0,11,4]",16.000,0
"[11,12,12,7]",27.000,"[0,0,0,0]",38.000,"[0,0,11,0]",11.000,0
"[11,12,12,8]",25.000,"[0,0,0,0]",39.000,"[0,0,11,2]",14.000,0
"[11,12,12,9]",27.000,"[0,0,0,0]",40.000,"[0,0,11,1]",13.000,0
"[11,12,12,10]",29.000,"[0,0,0,0]",41.000,"[0,0,11,0]",12.000,0
"[11,12,12,11]",21.000,"[0,0,0,0]",42.000,"[0,0,11,10]",21.000,0
"[11,12,12,12]",21.000,"[0,0,0,0]",43.000,"[0,0,11,10]",22.000,0
"[12,2,2,2]",11.000,"[0,0,0,0]",14.000,"[0,1,0,1]",3.000,1
"[12,2,2,3]",11.000,"[0,0,0,0]",15.000,"[0,1,0,1]",4.000,1
"[12,2,2,4]",11.000,"[0,0,0,0]",16.000,"[0,1,0,1]",5.000,1
"[12,2,2,5]",15.000,"[0,0,0,0]",17.000,"[0,1,0,0]",2.000,0
"[12,2,2,6]",11.000,"[0,0,0,0]",18.000,"[0,1,0,1]",7.000,1
"[12,2,2,7]",17.000,"[0,0,0,0]",19.000,"[0,1,0,0]",2.000,0
"[12,2,2,8]",15.000,"[0,0,0,0]",20.000,"[0,1,0,1]",5.000,0
"[12,2,2,9]",17.000,"[0,0,0,0]",21.000,"[0,1,0,1]",4.000,0
"[12,2,2,10]",19.000,"[0,0,0,0]",22.000,"[0,1,0,1]",3.000,0
"[12,2,2,11]",21.000,"[0,0,0,0]",23.000,"[0,1,0,0]",2.000,0
"[12,2,2,12]",11.000,"[0,0,0,0]",24.000,"[0,1,0,1]",13.000,1
"[12,2,3,2]",11.000,"[0,0,0,0]",15.000,"[0,1,0,0]",4.000,1
"[12,2,3,3]",11.000,"[0,0,0,0]",16.000,"[0,1,0,2]",5.000,1
"[12,2,3,4]",11.000,"[0,0,0,0]",17.000,"[0,1,0,2]",6.000,1
"[12,2,3,5]",15.000,"[0,0,0,0]",18.000,"[0,1,0,0]",3.000,0
"[12,2,3,6]",11.000,"[0,0,0,0]",19.000,"[0,1,0,2]",8.000,1
"[12,2,3,7]",17.000,"[0,0,0,0]",20.000,"[0,1,0,0]",3.000,0
"[12,2,3,8]",15.000,"[0,0,0,0]",21.000,"[0,1,0,2]",6.000,0
"[12,2,3,9]",17.000,"[0,0,0,0]",22.000,"[0,1,0,2]",5.000,0
"[12,2,3,10]",19.000,"[0,0,0,0]",23.000,"[0,1,0,0]",4.000,0
"[12,2,3,11]",21.000,"[0,0,0,0]",24.000,"[0,1,0,0]",3.000,0
"[12,2,3,12]",11.000,"[0,0,0,0]",25.000,"[0,1,0,2]",14.000,1
"[12,2,4,2]",11.000,"[0,0,0,0]",16.000,"[0,1,0,1]",5.000,1
"[12,2,4,3]",11.000,"[0,0,0,0]",17.000,"[0,1,0,0]",6.000,1
"[12,2,4,4]",11.000,"[0,0,0,0]",18.000,"[0,1,0,3]",7.000,1
"[12,2,4,5]",15.000,"[0,0,0,0]",19.000,"[0,1,0,0]",4.000,0
