seeds,num_tasks,per_jitter,best_latency,run_time_order,"(latency, count)"
1755016045,8,0,1361,0.043606314808130264,"[(1361, 5040)]"
1755016046,8,0,2740,0.039274682989344,"[(2740, 5040)]"
1755016047,8,0,1437,0.03752921684645116,"[(1437, 5040)]"
1755016048,8,0,145,0.0385465850122273,"[(145, 2520), (155, 2520)]"
1755016049,8,0,257,0.04034115304239094,"[(257, 5040)]"
1755016050,8,0,54,0.037757857935503125,"[(54, 5040)]"
1755016051,8,0,335,0.03880857792682946,"[(335, 5040)]"
1755016052,8,0,3051,0.040901825996115804,"[(3051, 5040)]"
1755016053,8,0,1082,0.04318262403830886,"[(1082, 5040)]"
1755016054,8,0,2780,0.03403036389499903,"[(2780, 5040)]"
1755016055,8,0,1363,0.038685203064233065,"[(1363, 5040)]"
1755016056,8,0,301,0.03866140078753233,"[(301, 5040)]"
1755016057,8,0,2836,0.03945100214332342,"[(2836, 5040)]"
1755016058,8,0,5169,0.04065939714200795,"[(5169, 5040)]"
1755016059,8,0,222,0.04030473786406219,"[(222, 5040)]"
1755016060,8,0,529,0.03947974811308086,"[(529, 5040)]"
1755016061,8,0,1321,0.04412491503171623,"[(1321, 5040)]"
1755016062,8,0,251,0.03596035484224558,"[(251, 5040)]"
1755016063,8,0,118,0.04464665800333023,"[(118, 1680), (119, 3360)]"
1755016064,8,0,738,0.0435192238073796,"[(738, 5040)]"
1755016065,8,0,243,0.03940363507717848,"[(243, 5040)]"
1755016066,8,0,1251,0.03621240612119436,"[(1251, 5040)]"
1755016067,8,0,1928,0.034383801044896245,"[(1928, 5040)]"
1755016068,8,0,565,0.044909073039889336,"[(565, 5040)]"
1755016069,8,0,3283,0.04694386199116707,"[(3283, 5040)]"
1755016070,8,0,2432,0.04519169311970472,"[(2432, 5040)]"
1755016071,8,0,1093,0.0383281959220767,"[(1093, 5040)]"
