seeds,num_tasks,per_jitter,best_latency,run_time_zero
1755016099,8,0,1538,3.0341034289449453e-05
1755016100,8,0,895,1.9633967895060778e-05
1755016101,8,0,478,2.0303006749600172e-05
1755016102,8,0,1472,1.9433966372162104e-05
1755016103,8,0,327,1.9923958461731672e-05
1755016104,8,0,221,2.0107021555304527e-05
1755016105,8,0,909,1.8897990230470896e-05
1755016106,8,0,1124,1.8014980014413595e-05
1755016107,8,0,314,1.819297904148698e-05
1755016108,8,0,624,1.8997001461684704e-05
1755016109,8,0,1212,2.0008999854326248e-05
1755016110,8,0,291,1.8407008610665798e-05
1755016111,8,0,1188,1.946598058566451e-05
1755016112,8,0,43,1.8697988707572222e-05
1755016113,8,0,628,1.9357947167009115e-05
1755016114,8,0,464,1.8235004972666502e-05
1755016115,8,0,487,1.81680079549551e-05
1755016116,8,0,3638,2.019101521000266e-05
1755016117,8,0,559,1.991097815334797e-05
1755016118,8,0,930,1.819297904148698e-05
1755016119,8,0,280,1.9823957700282335e-05
1755016120,8,0,4269,2.298300387337804e-05
1755016121,8,0,1233,1.9605038687586784e-05
1755016122,8,0,1546,2.2546970285475254e-05
1755016123,8,0,494,1.9211031030863523e-05
1755016124,8,0,1557,2.065900480374694e-05
1755016125,8,0,1680,1.9105966202914715e-05
1755016126,8,0,1604,2.3005995899438858e-05
1755016127,8,0,1197,2.0776991732418537e-05
1755016128,8,0,645,1.8363993149250746e-05
1755016129,8,0,3646,2.0621053408831358e-05
1755016130,8,0,1084,2.0481005776673555e-05
1755016131,8,0,3600,1.8485996406525373e-05
1755016132,8,0,2635,1.865398371592164e-05
1755016133,8,0,760,1.851998968049884e-05
1755016134,8,0,1122,2.1679967176169157e-05
1755016135,8,0,623,2.0576000679284334e-05
1755016136,8,0,465,4.4643995352089405e-05
1755016037,10,0,2081,3.625103272497654e-05
1755016038,10,0,561,2.681801561266184e-05
1755016039,10,0,2957,2.7581991162151098e-05
1755016040,10,0,1674,2.360198413953185e-05
1755016041,10,0,663,2.5089015252888203e-05
1755016042,10,0,693,2.3491040337830782e-05
1755016043,10,0,2924,2.806697739288211e-05
1755016044,10,0,3074,2.497097011655569e-05
1755016045,10,0,3039,2.4576031137257814e-05
1755016046,10,0,2445,2.5487970560789108e-05
1755016047,10,0,2891,2.4017994292080402e-05
1755016048,10,0,2646,2.3367989342659712e-05
