periods,seeds,read_offsets,write_offsets,min,max,mean,std,diff,"(latency, count)"
"[8, 3, 9]",1755016037,"[0, 0, 2]","[0, 0, 2]",2,17,18.833,13.894,3,"[(2, 1), (3, 4), (4, 6), (5, 8), (6, 10), (7, 12), (8, 14), (9, 16), (10, 15), (11, 14), (12, 12), (13, 10), (14, 8), (15, 6), (16, 4), (17, 2)]"
"[8, 3, 10]",1755016037,"[0, 0, 1]","[0, 0, 1]",1,18,18.325,13.911,3,"[(1, 3), (2, 4), (3, 10), (4, 10), (5, 16), (6, 16), (7, 22), (8, 22), (9, 24), (10, 24), (11, 20), (12, 20), (13, 14), (14, 14), (15, 8), (16, 8), (17, 2), (18, 2)]"
"[8, 4, 3]",1755016037,"[0, 3, 0]","[0, 3, 0]",3,12,14.0,9.5,3,"[(3, 1), (4, 4), (5, 6), (6, 6), (7, 6), (8, 6), (9, 6), (10, 5), (11, 3), (12, 2)]"
"[8, 4, 4]",1755016037,"[0, 3, 2]","[0, 3, 2]",6,13,15.125,7.848,3,"[(6, 1), (7, 2), (8, 2), (9, 2), (10, 2), (11, 2), (12, 1), (13, 1)]"
"[8, 4, 5]",1755016037,"[0, 3, 0]","[0, 3, 0]",3,14,16.2,11.383,3,"[(3, 2), (4, 4), (5, 5), (6, 8), (7, 10), (8, 10), (9, 10), (10, 10), (11, 8), (12, 6), (13, 3), (14, 1)]"
"[8, 4, 6]",1755016037,"[0, 3, 0]","[0, 3, 0]",4,15,17.875,12.07,3,"[(4, 2), (5, 2), (6, 3), (7, 4), (8, 6), (9, 6), (10, 5), (11, 5), (12, 4), (13, 4), (14, 2), (15, 2)]"
"[8, 4, 7]",1755016037,"[0, 3, 0]","[0, 3, 0]",3,16,18.429,13.204,3,"[(3, 2), (4, 4), (5, 6), (6, 8), (7, 9), (8, 12), (9, 14), (10, 14), (11, 12), (12, 9), (13, 7), (14, 6), (15, 4), (16, 2)]"
"[8, 4, 8]",1755016037,"[0, 3, 2]","[0, 3, 2]",10,17,21.625,10.909,3,"[(10, 1), (11, 2), (12, 2), (13, 2), (14, 2), (15, 2), (16, 1), (17, 1)]"
"[8, 4, 9]",1755016037,"[0, 3, 0]","[0, 3, 0]",3,18,20.417,14.774,3,"[(3, 2), (4, 4), (5, 6), (6, 8), (7, 10), (8, 12), (9, 13), (10, 16), (11, 16), (12, 14), (13, 12), (14, 10), (15, 8), (16, 5), (17, 3), (18, 2)]"
"[8, 4, 10]",1755016037,"[0, 3, 0]","[0, 3, 0]",4,19,21.825,15.351,3,"[(4, 2), (5, 2), (6, 4), (7, 4), (8, 6), (9, 6), (10, 7), (11, 8), (12, 8), (13, 8), (14, 6), (15, 6), (16, 4), (17, 4), (18, 1), (19, 1)]"
"[8, 5, 3]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,13,13.0,10.017,3,"[(0, 2), (1, 6), (2, 12), (3, 18), (4, 24), (5, 28), (6, 30), (7, 30), (8, 28), (9, 24), (10, 18), (11, 12), (12, 6), (13, 2)]"
"[8, 5, 4]",1755016037,"[0, 0, 3]","[0, 0, 3]",3,14,14.05,10.131,3,"[(3, 7), (4, 8), (5, 8), (6, 8), (7, 10), (8, 10), (9, 9), (10, 9), (11, 2), (12, 2), (13, 2), (14, 2)]"
"[8, 5, 5]",1755016037,"[0, 0, 4]","[0, 0, 4]",4,15,18.0,12.302,3,"[(4, 1), (5, 4), (6, 6), (7, 8), (8, 10), (9, 10), (10, 10), (11, 9), (12, 7), (13, 5), (14, 4), (15, 2)]"
"[8, 5, 6]",1755016037,"[0, 0, 1]","[0, 0, 1]",1,16,16.192,12.22,3,"[(1, 3), (2, 4), (3, 12), (4, 12), (5, 22), (6, 22), (7, 28), (8, 28), (9, 26), (10, 26), (11, 18), (12, 18), (13, 8), (14, 8), (15, 2), (16, 2)]"
