n,periods,seed,C,R,R/C,min_latency (LZ-),min_offsets,max_latency (LZ+),max_offsets
7,"[1, 1, 10, 1, 200, 1000, 50]",53,700000000,33275.302316,4.753615e-05,999.000,"[0, 0, 0, 0, 0, 0, 0]",1256.000,"[0, 0, 0, 0, 9, 8, 7]"
8,"[50, 10, 20, 5, 1, 20, 50, 10]",53,80000000,42055.160286,5.256895e-04,59.000,"[0, 0, 0, 0, 0, 0, 10, 0]",158.000,"[0, 9, 8, 2, 0, 11, 0, 9]"
9,"[50, 20, 5, 20, 1, 2, 5, 20, 10]",53,36000000,19925.350242,5.534820e-04,59.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",124.000,"[0, 9, 3, 12, 0, 1, 2, 16, 5]"
10,"[500, 1, 10, 2, 5, 2, 1, 50, 10, 5]",53,5000000,50825.260597,1.016505e-02,499.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",576.000,"[0, 0, 9, 0, 4, 1, 0, 14, 3, 2]"
3,"[1000, 200, 10]",54,6000,955.538465,1.592564e-01,999.000,"[0, 0, 0]",1207.000,"[0, 199, 8]"
4,"[10, 1, 10, 100]",54,4000,6.526910,1.631728e-03,99.000,"[0, 0, 0, 0]",117.000,"[0, 0, 9, 8]"
5,"[200, 10, 10, 10, 2]",54,10000,291.607364,2.916074e-02,199.000,"[0, 0, 0, 0, 0]",227.000,"[0, 9, 8, 7, 0]"
6,"[2, 100, 1, 10, 1000, 1]",54,6000000,876.303745,1.460506e-04,999.000,"[0, 0, 0, 0, 0, 0]",1108.000,"[0, 1, 0, 0, 9, 0]"
7,"[200, 1, 200, 50, 1, 1, 2]",54,140000,818.031899,5.843085e-03,199.000,"[0, 0, 0, 0, 0, 0, 0]",448.000,"[0, 0, 199, 48, 0, 0, 1]"
8,"[10, 10, 50, 1000, 20, 5, 1, 10]",54,4000000000,442037.102379,1.105093e-04,999.000,"[0, 0, 0, 0, 0, 0, 0, 0]",1098.000,"[0, 9, 8, 7, 6, 0, 0, 9]"
9,"[10, 1000, 5, 1, 10, 5, 20, 100, 1]",54,4500000000,446830.488856,9.929566e-05,999.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",1143.000,"[0, 9, 3, 0, 2, 1, 5, 44, 0]"
10,"[1, 200, 20, 1, 1, 2, 2, 1, 20, 1000]",54,3200000000,86635.150137,2.707348e-05,999.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1238.000,"[0, 0, 19, 0, 0, 0, 1, 0, 0, 39]"
3,"[10, 1, 10]",55,30,0.000103,3.433333e-06,9.000,"[0, 0, 0]",18.000,"[0, 0, 9]"
4,"[200, 10, 10, 2]",55,800,3.240274,4.050342e-03,199.000,"[0, 0, 0, 0]",218.000,"[0, 9, 8, 1]"
5,"[2, 100, 20, 200, 2]",55,4000000,486.615752,1.216539e-04,199.000,"[0, 0, 0, 0, 0]",319.000,"[0, 1, 0, 19, 0]"
6,"[10, 200, 5, 5, 500, 50]",55,750000000,154057.672429,2.054102e-04,599.000,"[0, 0, 0, 0, 0, 0]",764.000,"[0, 9, 3, 2, 16, 15]"
7,"[1000, 5, 1, 10, 5, 50, 500]",55,43750000,468081.926760,1.069902e-02,999.000,"[0, 0, 0, 0, 0, 0, 0]",1564.000,"[0, 4, 0, 3, 2, 16, 65]"
8,"[10, 50, 2, 1, 1, 50, 10, 5]",55,2000000,534.431069,2.672155e-04,49.000,"[0, 0, 0, 0, 0, 0, 0, 0]",121.000,"[0, 9, 0, 0, 0, 9, 8, 2]"
9,"[20, 1000, 2, 5, 100, 5, 2, 2, 10]",55,1800000000,416180.157707,2.312112e-04,999.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",1137.000,"[0, 19, 0, 4, 23, 2, 0, 1, 8]"
